date,district,street,crime
11.02.2025 06:00 Uhr bis 13:30 Uhr,PD Leipzig,,Durchsuchungsmaßnahmen zur Bekämpfung der Kinderpornografie
12.02.2025,Frohburg (Flößberg),Straße des Friedens,Junge bei Unfall verletzt
11.02.2025,Leipzig (Gohlis-Mitte),Landsberger Straße,Falsche Polizeibeamte
10.02.2025,Eilenburg,Stadtpark,Diebstahl einer Bronzestatue
11.02.2025,Doberschütz (Paschwitz),Alte Dorfstraße,Fahrzeug gerät in Brand
11.02.2025,Leipzig (Grünau-Mitte),Ringstraße,Explosion im Hausflur
12.02.2025,Leipzig (Engelsdorf),Engelsdorfer Straße,Brand im Kellerbereich eines Mehrfamilienhauses
