date,district,street,crime
31.01.2025,Schkeuditz (Dölzig),Döbichauer Straße,Brand in Werkhalle
31.01.2025,Geithain,,Einbruch in Einfamilienhaus
31.01.2025,Schönwölkau,K7449,Verkehrsunfall mit zwei Verletzten
