date,district,street,crime
26.06.2024,Colditz,Badergasse,Seniorin beraubt – Tatverdächtiger gestellt
23.06.2024,Beilrode,Schienenweg,Zeugenaufruf zum Brand einer Lagerhalle
26.06.2024,Leipzig (Südvorstadt),,Verkehrsunfall mit einer verletzten Person
26.06.2024,Liebschützberg,,Brand eines Carports
25.06.2024,Leipzig (Zentrum),Ritterstraße,Einbruch in Bildungseinrichtung
26.06.2024,Leipzig (Neustadt-Neuschönefeld),Dresdner Straße,Räuberischer Diebstahl
26.06.2024,Leipzig (Kleinzschocher),,Verkehrsunfall mit zwei Verletzten
