date,district,street,crime
18.02.2024,Leipzig (Stötteritz),Güntzstraße,Raubdelikt - Zeugenaufruf
18.02.2024,Leipzig (Möckern),Olbrichtstraße,Fahrkartenautomat versucht zu sprengen
19.02.2024,Leipzig (Möckern),Max-Liebermann-Straße,17-Jähriger verletzt
19.02.2024,Leipzig (Eutritzsch),Delitzscher Straße,Brand mehrerer Mülltonnen
18.02.2024,Leipzig (Zentrum),Petersstraße,Verdacht der Volksverhetzung
18.02.2024,Leipzig (Wiederitzsch),Messe-Allee,Tageseinnahmen aus Pkw gestohlen
18.02.2024,Leipzig (Liebertwolkwitz),Liebertwolkwitzer Markt,Verwenden von Kennzeichen verfassungswidriger Organisationen
