date,district,street,crime
06.09.2024,Leipzig (Lößnig),Hans-Marchwitza-Straße,Räuberischer Diebstahl - Zeugenaufruf
08.09.2024,Krostitz,Oststraße,Küchenbrand
08.09.2024,Leipzig (Zentrum-Nordwest),Wettiner Straße/ Liviastraße,Diebstahl Motorrad
08.09.2024,Grimma,Gerichtsweg,Brand auf Gartengrundstück
08.09.2024,Brandis,Waldbadweg,Brand eines Holzunterstandes
07.09.2024 bis 09.09.2024,Leipzig (Connewitz),Wiedebach-Passage,Sachbeschädigung Polizeiaußenstelle Wiedebach-Passage
08.09.2024,Grimma (Mutzschen),S38,Verkehrsunfall mit verletztem Motorradfahrer
08.09.2024,Leipzig (Paunsdorf),Am Vorwerk/Heiterblickallee,Verkehrsunfall mit zwei Verletzten
08.09.2024,Leipzig (Hartmannsdorf-Knautnaundorf),Zur Weißen Mark,Gefährlicher Eingriff in den Straßenverkehr
09.09.2024,Eilenburg,Torgauer Straße,Verkehrskontrolle endet mit mehreren Straftaten und offenem Haftbefehl
