date,district,street,crime
11.02.2024,Stadt Leipzig,,Versammlungen in Leipzig
10.02.2024,Taucha,,Parteibüro beschmiert
10.02.2024,Leipzig (Neustadt-Neuschönefeld),Konstantinstraße,Wohnungsbrand
28.01.2024,Torgau,Süptitzer Weg,Verwenden von Kennzeichen verfassungswidriger Organisationen
09.02.2024,Eilenburg (Zschettgau),Lehdenweg,Mercedes Sprinter gestohlen
10.02.2024,Leipzig (Stötteritz),Güntzstraße,Auseinandersetzung in Stötteritz
10.02.2024,Leipzig (Möckern),Glesiener Straße,Brand auf Ladefläche
09.02.2024,BAB 14 km 47 i.R. Dresden,,Unfall unter Alkoholeinfluss
09.02.2024,Markkleeberg,Alte Ziegelei,Flucht vor Verkehrskontrolle
09.02.2024,Leipzig (Grünau-Ost),Alte Salzstraße,Falsche Polizeibeamte
