date,district,street,crime
11.03.2024,Borsdorf,,Einbruch in Pfarrhaus
11.03.2024,Leipzig (Grünau-Ost),Nikolai-Rumjanzew-Straße,Raub in einem Leipziger Park
12.03.2024,Leipzig (Leutzsch),Georg-Schwarz-Straße,Auffahrunfall mit einem Verletzten
