date,district,street,crime
08.01.2025,Leipzig; OT Lützschena-Stahmeln,An der Schäferei,Zeugenaufruf nach Überfall auf einen Zigarettenautomatenbefüller
16.01.2025,Leipzig (Burghausen-Rückmarsdorf),,Aus Erfurt gestohlener Pizza-Lieferwagen in Leipzig gefunden – Tatverdächtige gestellt
21.01.2025,Leipzig (Sellerhausen-Stünz),,Fahrstuhl durch Pyrotechnik beschädigt
17.01.2025,Leipzig (Neustadt-Neuschönefeld),Kohlgartenstraße,Einbruch in Büroräume
19.01.2025,Leipzig (Zentrum-Nordwest),Jacobstraße,VW-Transporter gestohlen
18.01.2025,Leipzig (Burghausen-Rückmarsdorf),Sandberg,Diebstahl eines Pkw Toyota Rav 4
17.01.2025,Markranstädt,,Einbruch in Fahrschule
20.01.2025,Taucha,Ernst-Moritz-Arndt-Straße,Einbruch in eine Wohnung
20.01.2025,Leipzig (Zentrum-West),Martin-Luther-Ring / Rudolphstraße,Fußgängerin bei Unfall schwer verletzt
