date,district,street,crime
19.02.2024,Leipzig (Schönefeld-Abtnaundorf),Rohrteichstraße 16-20,Brand durch Bauarbeiten
19.02.2024,Leipzig (Reudnitz-Thonberg),Hofer Straße,Einbruch in Hausverwaltung
18.02.2024,Leipzig (Südvorstadt),Brandvorwerkstraße,Diebstahl eines Motorrades - BMW
15.02.2024 19:45 Uhr bis 16.02.2024,Leipzig (Connewitz),Gustav-Freytag-Straße,Einbruch in Bildungseinrichtung
17.02.2024,Leipzig (Zentrum),Nikolaistraße,Einbruch in Büroräume
19.02.2024,Leipzig (Neustadt-Neuschönefeld),Dresdner Straße,Einbruch in Café
19.02.2024,Wermsdorf (Calbitz),Wiesenweg,Brand auf Privatgrundstück
