date,district,street,crime
24.02.2024,Leipzig (Mölkau),,Einbruch in eine Kirche
24.02.2024,Oschatz,Am Dresdner Berg,Unsachgemäßer Umgang mit Feuerwerkskörpern
24.02.2024,BAB 14,,Feuerwehr verfolgt betrunkenen Autofahrer
23.02.2024,BAB 38,,Unfall auf der Autobahn
23.02.2024,Leipzig (Stötteritz),Prager Straße,Verwenden von Kennzeichen verfassungswidriger Organisationen
23.02.2024,Naundorf (Hof),Salbitzer Straße,Diebstahl Audi SQ5
25.02.2024,Markranstädt (Quesitz),Hauptstraße,Mit über 2 Promille unterwegs
24.02.2024,Leipzig (Lindenau),Engertstraße,Sachbeschädigung durch Graffiti
16.02.2024,Grimma (Döben),Döbener Straße (K 8326),Ortseingangsschild gestohlen
22.02.2024,Taucha,,Sachbeschädigung an Abgeordnetenbüro
