date,district,street,crime
30.04.2024,Stadtgebiet Leipzig,,Mobile Schwerpunktkontrollen
05.05.2024,Leipzig (Probstheida),Connewitzer Straße,Fußballspiel 1. FC Lokomotive Leipzig gegen BSG Chemie Leipzig
03.05.2024,Leipzig (Volkmarsdorf),Lukasstraße,Kellerbrand in Mehrfamilienhaus
