date,district,street,crime
18.06.2024,Leipzig (Thekla),BMW-Allee,Tödlicher Verkehrsunfall
18.06.2024,Frohburg,B7,Pkw gegen Baum gefahren
18.06.2024,Leipzig (Zentrum-Ost),Willy-Brandt-Platz,Verkehrsunfall mit schwer verletztem Fußgänger
18.06.2024,Delitzsch,Oststraße,Fahrzeugbrand
18.06.2024,Leipzig,Landkreise Leipzig und Nordsachen,Zahlreiche Einsätze aufgrund Unwetter
"12.06.2024,13:00 bis 18.06.2024",Delitzsch,Mauergasse,Motorrad aus Tiefgarage entwendet
17.06.2024,Markkleeberg,,Einbruch in Vereinsräume
18.06.2024,Leipzig (Zentrum),Richard-Wagner-Straße,Höfe am Brühl beschmiert
17.06.2024,Leipzig (Zentrum-Nord),Nordplatz/Berliner Straße,Graffiti an öffentliche Einrichtungen geschmiert
18.06.2024,BAB 14 in Richtung Magdeburg,"Km 72,0",Betrunkener Transporterfahrer auf A14
18.06.2024,Leipzig (Zentrum-Südost),Addis-Abeba-Platz,Festnahme nach Diebstahl von Flagge
