date,district,street,crime
05.04.2024,Leipzig-Möckern,Friedrich-Bosse-Straße,Diebstahl PKW - Mercedes GLS
08.04.2024,Oschatz,Dr.-Külz-Straße,Brand
08.04.2024,Leipzig (Marienbrunn),An der Tabaksmühle (B2)/Friedhofsweg,Verkehrsunfall mit einer verletzten Person
08.04.2024,Torgau (Repitz),Repitzer Weg,Hundeangriff am Elbteich
08.04.2024,"Leipzig (Thekla),Göteborger Straße",,Viruswarnung führt zum Supportbetrug
09.04.2024,"Leipzig (Sellerhausen-Stünz),Theodor-Heuss-Straße",,Mit Mercedes auf Beamten zugefahren
