date,district,street,crime
Tatzeit: 21.01.2024,Leipzig (Grünau-Mitte),,Brand in Sozialeinrichtung
21.01.2024,Frohburg,Am Sonneneck,Brand eines Holzunterstandes
22.01.2024,Leipzig (Thekla),Rostocker Straße,Zigarettenautomat gesprengt
