date,district,street,crime
16.10.2024,Leipzig (Kleinzschocher),Eythraer Straße,Brand an leerstehendem Mehrfamilienhaus
15.10.2024,Leipzig (Wahren),Pferdnerstraße,Holzstapel geriet in Brand
15.10.2024,Leipzig (Grünau-Mitte),Stuttgarter Allee,Verkehrsunfall mit drei verletzten Personen
15.10.2024,Leipzig (Altlindenau),Jahnallee,Verwenden von Kennzeichen verfassungswidriger Organisationen
15.10.2024,Leipzig (Schönefeld-Abtnaundorf),Rackwitzer Straße,Verkehrsunfall mit drei Verletzten
14.10.2024,Leipzig (Zentrum-West),Ferdinand-Lassalle-Straße,Wohnmobil gestohlen
14.10.2024,Leipzig (Großzschocher),Wöllnerstraße,Diebstahl eines Mercedes
15.10.2024,Leipzig (Schönefeld-Abtnaundorf),Stöckelstraße,Einbruch in Büroräume einer Einrichtung
14.10.2024,Leipzig (Probstheida),,Einbruch in Behandlungsräume
15.10.2024,Großpösna,Magdeborner Straße/Grimmaische Straße,Verkehrsunfall in Großpösna
