date,district,street,crime
26.04.2024,Leipzig (Altlindenau),Cottaweg,21-Jähriger vor der Leipziger Kleinmesse angegriffen
26.04.2024,Oschatz,Mannschatzer Straße,Brand im Katzenwäldchen
27.04.2024,Leipzig (Zentrum-Süd),Wilhelm-Leuschner-Platz,Körperverletzung
