date,district,street,crime
10.12.2024 gegen 05:45 Uhr,Leipzig (Schönefeld-Abtnaundorf),Rohrteichstraße,Schweres Sexualdelikt - Beschuldigter in Untersuchungshaft
18.12.2024,Leipzig (Zentrum-Südost),Philipp-Rosenthal-Straße,Tatverdächtige nach versuchtem Raub vorläufig festgenommen
18.12.2024,Leipzig (Zentrum),Markt,Betrug mit Pfandtassen
18.12.2024,Leipzig (Leutzsch),Karl-Schurz-Straße,Balkonbrand
18.12.2024,Borna,,Sachbeschädigung an über 20 Fahrzeugen
18.12.2024,Leipzig (Wiederitzsch),Delitzscher Landstraße,Verkehrsunfall mit mehreren Verletzten
19.12.2024,Leipzig (Zentrum-Ost),Kreuzstraße,Kupferkabel gestohlen – Tatverdächtiger gestellt
