date,district,street,crime
09.02.2025,Leipzig (Zentrum),Petersstraße,Tatverdächtiger nach Einbruch gestellt
09.02.2025,Borsdorf,Bahnhofstraße,Fahrkartenautomat gesprengt
09.02.2025,Leipzig (Lindenau),Aurelienstraße,Radfahrerin schwer verletzt
01.02.2025,Mockrehna,,Zeugenaufruf nach Flucht eines SUV
09.02.2025,Leipzig,,Tatverdächtiger nach Einbruch in Baumarkt gestellt
