date,district,street,crime
23.12.2023,Leipzig (Zentrum-Süd),Kohlenstraße/Körnerstraße,Audi gestohlen
11.01.2024,Leipzig (Mölkau),Handwerkerhof,Brand in einer Werkstatt
11.01.2024,Leipzig (Altlindenau),Prießnitzstraße 19,Brand in Grundschule
11.01.2024,Leipzig (Altlindenau),Georg-Schwarz-Straße,Schmiererei am Bildungszentrum
11.01.2024,Brandis (Polenz),Am Alten Flugplatz,Unter Alkoholeinfluss unerlaubt vom Unfallort entfernt
20.12.2023,Leipzig (Neustadt-Neuschönefeld),Dresdner Straße,Sturz in Bus - Zeugenaufruf
