date,district,street,crime
17.04.2024,Leipzig (Stötteritz),Ferdinand-Jost-Straße 39,Eine verletzte Person nach Wohnungsbrand
17.04.2024,Wurzen,B6,Verkehrsunfall mit hohem Sachschaden
17.04.2024,Torgau,,Einbruch Baumarkt
17.04.2024,Leipzig (Großzschocher),Dieskaustraße,Einbruch in Geschäft
10.04.2024,Leipzig (Schönefeld-Ost),Bautzner Straße,Diebstahl Motorrad Yamaha
17.04.2024,Leipzig (Schönau),Kiewer Straße,Diebstahl Pkw Mazda
17.04.2024,Leipzig (Seehausen),Göbschelwitzer Straße,"Mit über 2,6 Promille unterwegs"
17.04.2024,Leipzig (Gohlis-Nord),Jörgen-Schmidtchen-Weg,Falscher Bankmitarbeiter
