date,district,street,crime
02.06.2024,Neukieritzsch (Lobstädt),Dora-Helene-Straße,Brand in einer Wohnung
03.06.2024,Naunhof,Moritzsee,Suche nach vermisstem Schwimmer - Ergänzungsmeldung
01.06.2024,Leipzig (Paunsdorf),Hainbuchenstraße,Raubdelikt - Zeugenaufruf
02.06.2024,Grimma,Am Holzwinkel,Wohnungsbrand in einem Mehrfamilienhaus
02.06.2024,Torgau (Graditz),,Verkehrsunfall mit fünf verletzten Personen
Tatzeit: 02.06.2024,Leipzig (Lindenau),,Einbruch in Pizzeria
20.04.2024,Markranstädt,Oststraße,Verwenden von Kennzeichen verfassungswidriger Organisationen
