date,district,street,crime
30.05.2024,Leipzig (Neustadt-Neuschönefeld),Eisenbahnstraße Höhe HG 20,Auseinandersetzung in Eisenbahnstraße mit Falschparker
30.05.2024,Leipzig (Grünau-Nord),Kiewer Straße,Verkehrsunfall mit verletztem Radfahrer
29.05.2024,Naundorf,,Diebstahl von Pflanzenschutzmittel
