date,district,street,crime
05.09.2024,Leipzig (Leutzsch),Mathiesenstraße,Dacia gestohlen
04.09.2024,Leipzig (Grünau-Mitte),Breisgaustraße,Toyota Corolla gestohlen
05.09.2024, Parthenstein (Klinga),,Lkw-Auflieger in Brand
05.09.2024,BAB 14,,Verkehrsunfall mit drei leichtverletzten Personen
05.09.2024,Leipzig (Seehausen),BMW-Allee,Verkehrsunfall mit verletztem Motorradfahrer
04.09.2024,Leipzig (Schleußig),Industriestraße,Einbruch in Restaurant
05.09.2024,Leipzig (Knautkleeberg-Knauthain),Moosbeerweg,Feldbrand
04.09.2024,Leipzig (Burghausen-Rückmarsdorf),Sandberg,Diebstahl eines Pkw Nissan
06.09.2024,Leipzig (Zentrum-Süd),,Raub einer Musikbox
05.09.2024,Leipzig (Zentrum-Süd),Dufourstraße/ Paul-Gruner-Straße/ Floßplatz,Unfall mit verletztem Radfahrer
05.09.2024,Beilrode,,Von der Fahrbahn abgekommen
05.09.2024,Leipzig (Grünau-Ost),Rosenweg,Betrunkene E-Roller Fahrerin
