date,district,street,crime
24.01.2024,Leipzig (Lindenthal),Oswald-Kahnt-Ring,Renault Trafic gestohlen
25.01.2024,Leipzig (Probstheida),Morawitzstraße,Brand in Krankenhaus
24.01.2024,Leipzig (Zentrum),Augustusplatz,Angriff auf zwei Personen
24.01.2024,Eilenburg,Sprottaer Landstraße,Einbruch in Geschäft
