date,district,street,crime
16.01.2024,Frohburg (Nenkersdorf) Harthsee,Nordufer,59-Jähriger in Eis eingebrochen
16.01.2024,Brandis,Bergstraße,Brand in einem Einfamilienhaus
12.01.2024,Grimma,,Sachbeschädigung an einem Abgeordnetenbüro
16.01.2024,Leipzig (Böhlitz-Ehrenberg),Heinrich-Heine-Straße,Verkehrsunfall unter Alkoholeinfluss
16.01.2024,Leipzig (Wiederitzsch),Delitzscher Landstraße | Südtangente | Dachauer Straße,Verkehrsunfall mit einer verletzten Person
06.01.2024,Leipzig (Reudnitz-Thonberg),Riebeckstraße | Höhe Thonbergklinik,Zeugenaufruf nach Verkehrsunfall
