date,district,street,crime
27.03.2024,Leipzig (Leutzsch),Am Sportpark 2,Fußballspiel BSG Chemie Leipzig gegen FC Energie Cottbus
22.03.2024,Leipzig (Grünau-Siedlung),Alte Salzstraße/ Krakauer Straße,Musik und Parolen mit verfassungsfeindlichen Inhalten in der Öffentlichkeit
25.03.2024,Leipzig (Reudnitz-Thonberg),Wittstockstraße/Sigismundstraße,Jugendlicher beraubt
25.03.2024,Grimma (Würschwitz),,Verkehrsunfall mit zwei Verletzten
22.03.2024,Neukieritzsch,,Kabeldiebstahl
25.03.2024,Leipzig (Eutritzsch),Wittenberger Straße,Einbruch in Lagerraum
24.03.2024 bis 25.03.2024,Cavertitz,,Einbruch in ehemalige Pension
26.03.2024,Eilenburg,,Versuchter Einbruch in Geschäft
