date,district,street,crime
06.09.2024,Leipzig (Zentrum-Süd),,Geraubte Musikbox bei Durchsuchung gefunden
11.02.2025,Leipzig (Grünau-Nord),Am kleinen Feld,Wohnungseinbruch mit hohem Stehlschaden
14.02.2025,Leipzig (Grünau-Mitte),,Sachbeschädigung und Brandstiftung in Lokal
13.02.2025,Leipzig (Sellerhausen-Stünz),Theodor-Heuss-Straße,Verkehrsunfall mit einer verletzten Person und Auswirkungen auf Bahnverkehr
13.02.2025,Parthenstein (Klinga),S45,Verkehrsunfall mit über 2 Promille
13.02.2025,Zuständigkeitsbereich der Polizeidirektion Leipzig,,Zahlreiche Unfälle aufgrund winterglatter Fahrbahnen
