date,district,street,crime
07.12.2024,Leipzig (Knautkleeberg-Knauthain),Dieskaustraße,Verkehrsunfall mit gestohlenem BMW
05.12.2024,Markranstädt,,Einbruch in Kindertagesstätte
06.12.2024,Leipzig (Neustadt-Neuschönefeld),Eisenbahnstraße,Einbruch in Friseursalon
06.12.2024,Leipzig (Neulindenau),,Einbruch in Autohaus
05.12.2024,Leipzig (Reudnitz-Thonberg),Frommannstraße,Diebstahl Pkw Skoda
06.12.2024,Leipzig (Plagwitz),Klingenstraße,Versuchter Diebstahl eines Pkw Toyota RAV 4
06.12.2024,Grimma,Bahnhofstraße,Sachbeschädigung am Landratsamt
