date,district,street,crime
12.07.2024,Leipzig (Eutritzsch),Delitzscher Straße 49A,Zeugenaufruf nach Verkehrsunfallflucht
09.08.2020,Leipzig (Gohlis-Mitte),Martin-Drucker-Straße/ Treschkowstraße,Trafohäuschen beschmiert – Tatverdächtige gestellt
09.08.2024,Leipzig (Stötteritz),,Einbruch in Supermarkt
Tatzeit: 08.08.2024,Markranstädt,Parkstraße,Diebstahl eines Motorrades
