date,district,street,crime
31.05.2024,Grimma (Großbothen),Großbardauer Straße,Verkehrsunfall mit einer schwer verletzten Person
31.05.2024,Leipzig (Leutzsch),Georg-Schwarz-Straße,Gefährliche Körperverletzung
31.05.2024,Leipzig (Connewitz),Bornaische Straße,Sachbeschädigung an Wohnhaus
31.05.2024,Leipzig (Grünau-Nord),Am kleinen Feld,Wohnungsbrand in einem Mehrfamilienhaus
01.06.2024,Leipzig (Zentrum-Ost),Rosa-Luxemburg-Straße,Versuchte Sprengung eines Zigarettenautomaten
01.06.2024,Bad Düben,Markt,Volksverhetzung auf Stadtfest
31.05.2024,Leipzig (Gohlis-Süd),Platnerstraße,Diebstahl eines Lexus
29.05.2024,Leipzig (Zentrum-Süd),Karl-Liebknecht-Straße,Bedrohung an Wahlkampfstand
30.05.2024,Delitzsch,Benndorfer Landstraße,Diebstahl eines Motorrads
02.06.2024,Leipzig (Großzschocher),Dieskaustraße,Volksverhetzung
02.06.2024,Großpösna (Gruna),,Brand in einer Lagerhalle
01.06.2024,Naunhof,Moritzsee,Suche nach vermisstem Schwimmer
