date,district,street,crime
24.06.2024,Leipzig (Leutzsch),Rietschelstraße,Brand eines Gartenhauses
22.06.2024,Leipzig (Schönefeld-Abtnaundorf),Adenauerallee,Raubdelikt - Zeugenaufruf
22.06.2024,Leipzig (Sellerhausen-Stünz),Torgauer Straße,Raubdelikt in Sellerhausen-Stünz
