date,district,street,crime
01.09.2024,Trebsen,Straße des Aufbaues,Brand Gartenlaube – Tatverdächtiger gestellt
01.09.2024,Leipzig (Knautkleeberg-Knauthain),Kurt-Reinicke-Platz, 
01.09.2024,Leipzig (Knautkleeberg-Knauthain),Kurt-Reinicke-Platz,Raubdelikt - Zeugenaufruf
01.09.2024,Dahlen (Schmannewitz),Heideweg, 
01.09.2024,Dahlen (Schmannewitz),Heideweg,Flucht bei Verkehrskontrolle
01.09.2024,Leipzig (Zentrum-Nordwest),Am Sportforum, 
01.09.2024,Leipzig (Zentrum-Nordwest),Am Sportforum,Graffiti an Unterführung
01.09.2024,Torgau,, 
01.09.2024,Torgau,,Einbruch in Bürogebäude
01.09.2024,Leipzig (Lützschena-Stahmeln),Poststraße/Kreuzung Sattlerstraße, 
01.09.2024,Leipzig (Lützschena-Stahmeln),Poststraße/Kreuzung Sattlerstraße,Sozia bei Unfall verletzt
