date,district,street,crime
24.12.2024,Leipzig (Mockau-Nord),Walter-Albrecht-Weg/Friedrichshafener Straße,Raubdelikt - Zeugen gesucht
25.12.2024,Leipzig (Probstheida),,Raub einer Gürteltasche in der Straßenbahn
25.12.2024,Wiedemar,Bundesstraße 183a,Verkehrsunfall mit einer verstorbenen Person
24.12.2024,Eilenburg,Torgauer Straße,Tabakwaren entwendet
26.12.2024,Leipzig (Möckern),Georg-Schumann-Straße,Tatverdächtiger lässt Farbeimer explodieren
26.12.2024,Leipzig (Grünau-Mitte),Breisgaustraße,Kellerbrand
23.12.2024,Leipzig (Lindenau),Birkenstraße,Einbruch in Restaurant
