date,district,street,crime
27.06.2024,Leipzig (Heiterblick),Paunsdorfer Allee / Permoser Straße,Verkehrsunfall auf der Bundesstraße 6
27.06.2024,Staatsstraße 75,,Von der Fahrbahn abgekommen
26.06.2024,Leipzig (Knautkleeberg-Knauthain),,Einbruch in Hort
