,date,district,street,crime
283,12.02.2025,Leipzig (Engelsdorf),Engelsdorfer Straße,Brand im Kellerbereich eines Mehrfamilienhauses
284,14.03.2025,Leipzig (Leutzsch),Alfred-Kunze-Sportpark,Fußballspiel BSG Chemie Leipzig gegen Rot-Weiß Erfurt
285,10.03.2025,Schkeuditz,,Diebstahl von Fahrzeugteilen
286,12.03.2025,Leipzig (Altlindenau),Georg-Schwarz-Straße,Ein Verletzter nach Küchenbrand
287,13.03.2025,Markkleeberg,,Brandstiftung - Zwei Versuche in einer Nacht
288,13.03.2025,Leipzig (Leutzsch),Ludwig-Hupfeld-Straße,Gestohlener Transporter während des Abschleppens zurückgelassen
289,12.03.2025,Taucha,Leipziger Straße,Unfall unter dem Einfluss von Drogen
290,12.03.2025 15:00 Uhr,Leipzig (Großzschocher),Arthur-Nagel-Straße,"Unfall mit 3,3 Promille"
291,12.03.2025,Ort Leipzig (Neulindenau),,Einbruch in Sporteinrichtung
292,19.03.2025,Leipzig (Anger-Crottendorf),,Brand einer Gartenlaube
293,19.03.2025,Geithain,Tautenhainer Straße/Kalkweg,Tödlicher Verkehrsunfall
294,17.03.2025,Leipzig (Böhlitz-Ehrenberg),Heinrich-Heine-Straße,Sachbeschädigung an Enforcement-Trailer
295,19.03.2025,Leipzig (Reudnitz-Thonberg),Hofer Straße,Brand in Mietwohnung
296,18.03.2025,Colditz,,Einbruch in Firma
297,16.03.2025,Borna,,Einbruch in Vereinsheim
298,11.03.2025,A 14,,Zeugenaufruf nach Unfall mit zivilem Polizeifahrzeug auf der A 14
299,19.02.2025,Leipzig und Köln,,"Durchsuchungen wegen Geldwäsche und Messengerbetrug - Gemeinsame Medieninformation der Polizeidirektionen Leipzig, Staatsanwaltschaft Leipzig, Staatsanwaltschaft Köln und Polizei Köln"
300,15.12.2024,Leipzig (Zentrum-Nord),Berliner Straße,Festnahme nach versuchtem Tötungsdelikt – Ergänzungsmeldung
301,18.02.2025,Arzberg (Köllitsch),,Mehrere Kälber entwendet
302,15.02.2025,Leipzig (Paunsdorf),Goldsternstraße,Einbruch in Gaststätte
303,16.02.2025,Schkeuditz (Dölzig),Döbichauer Straße,Brand auf einem Dach
304,16.02.2025,Böhlen,,Unfallflucht unter Alkohol
305,15.02.2025,Leipzig (Grünau-Mitte),Lützner Str.,Einbruch in Schmuckgeschäft
306,08.02.2025,Leipzig,Stadtgebiet,Polizeieinsatz anlässlich mehrerer Wahlkampfveranstaltungen
307,08.02.2025,Leipzig (Gohlis-Süd),Lützowstraße/Virchowstraße,44-Jähriger beschädigt Werbetafel
308,08.02.2025,Leipzig (Probstheida),Connewitzer Straße,Auseinandersetzung im Zusammenhang mit Fußballspiel
309,07.02.2025,Taucha,Am Schwarzen Berg,Brand in Taucha
310,25.01.2025,Sachsen,,Festnahme von reisenden Trickdieben
311,31.01.25,Leipzig (Schönefeld- Ost),Bautzener Straße,Einbruch in Werkstatt
312,02.02.2025,Dommitzsch,Straße des Friedens,Wohnungsbrand
313,01.02.2025,Leipzig (Leutzsch),Heimteichstraße,Brennende Weihnachtsbäume
314,01.02.2025,Leipzig (Connewitz),Wolfgang-Heinze-Straße,Brennende Baustellenabsperrungen
315,01.02.2025,Thallwitz,,Werkstattbrand
316,01.02.2025,Schkeuditz (Dölzig),B186,Verkehrsunfall mit drei Verletzten
317,01.02.2025,Leipzig (Marienbrunn),Zwickauer Straße,Enforcement-Trailer beschädigt
318,01.02.25,Leipzig (Burghausen-Rückmarsdorf),,Gestohlenes Fahrzeug wiedergefunden
319,01.02.2025,Leipzig (Leutzsch),,Einbruch in Restaurant
320,12.03.2025,Leipzig (Wiederitzsch),,Polizeieinsatz in Leipziger Einfamilienhaussiedlung
321,11.03.2025,Wurzen,Windmühlenweg,Brand einer Gartenlaube
322,02.02.2025,Leipzig (Zentrum-Nordwest),Leibnizstraße,Räuberische Erpressung - Zeugenaufruf
323,02.03.2025 02:00 Uhr - 02.03.2025 07:45 Uhr,Wiedemar (Zschernitz),Mittelstraße / Doberstauer Straße,Fahrerflucht - Zeugenaufruf
324,11.03.2025 gegen 12:10 Uhr,Oschatz (Leuben),,Verfolgungsfahrt mit Simson
325,05.02.2025,Wiedemar,B 183a/Serbitzer Straße,Verkehrsunfall zwischen Pkw und Lkw
326,05.02.2025,Pomßen,Hauptstraße,Geschwindigkeitsmessung in Pomßen
327,05.02.2025,Leipzig (Mölkau),Engelsdorfer Straße,Brand im Obergeschoss
