,date,district,street,crime
64,05.02.2025 (polizeibekannt),Leipzig,,Tatverdächtige nach Diebstählen an Leipziger Hochschulen gestellt
65,19.02.2025,Ort:Leipzig (Neulindenau),Saarländer Straße,Brand eines Nebengelasses
66,19.02.2025,Parthenstein (Großsteinberg),Am See/Pomßener Landstraße,Schwerer Verkehrsunfall mit drei Verletzten
67,19.02.2025,Eilenburg,,Einbruch in Bäckerei
68,23.02.2025,Leipzig (Neustadt-Neuschönefeld),Stadtteilpark Rabet,Auseinandersetzung im Stadtteilpark Rabet
69,23.02.2025,Leipzig (Kleinzschocher),Antonienstraße,Brand einer Gartenlaube
70,22.02.2025,Leipzig (Zentrum),Richard-Wagner-Straße/ Höhe Höfe am Brühl,Raubdelikt
71,21.02.2025,Leipzig (Grünau-Nord),Jupiterstraße,Auseinandersetzung in Grünau
72,26.02.2025,Markkleeberg,Städtelner Straße 54,Präventionsmobil der Leipziger Polizei in Markkleeberg
73,31.01.2025,Schkeuditz (Dölzig),Döbichauer Straße,Brand in Werkhalle
74,31.01.2025,Geithain,,Einbruch in Einfamilienhaus
75,31.01.2025,Schönwölkau,K7449,Verkehrsunfall mit zwei Verletzten
76,02.02.2025,Leipzig (Lößnig),Willi-Bredel-Straße,Kellerbrand
77,02.02.2025,Leipzig (Leutzsch),Vierackerwiesen,Tatverdächtiger bei Einbruch gestellt
78,01.02.2025,Leipzig (Sellerhausen-Stünz),Zum Kleingartenpark,Einbruch in Wohnung
79,02.02.2025,Leipzig (Lindenau),Karl-Heine-Straße,Körperverletzung unter Konzertbesuchern
80,31.01.2025,Leipzig (Sellerhausen-Stünz),,Sachbeschädigung an Kirche
81,02.02.2025,Leipzig (Plagwitz),Antonienstraße,Wahlplakate beschädigt – Tatverdächtiger gestellt
82,03.02.2025,Leipzig (Neulindenau),Saalfelder Straße,Brand in einem Technikraum
83,16.01.2025,Trebsen/Mulde,Seilergasse,Radfahrerin bei Unfall verletzt - Zeugenaufruf
84,04.02.2025,Leipzig (Plagwitz),Holbeinstraße 38b,Seniorin ausgeraubt
85,06.02.2025,Leipzig (Leutsch),,Einbruch in Autohaus
86,05.02.2025,Leipzig (Gohlis-Mitte),Hans-Oster-Straße,Nach Verkehrsunfall eingeschlafen
87,06.02.2025,K7449 Gollmenz in Richtung Badrina,,Verkehrsunfall mit leicht verletzter Person
88,11.02.2025,Leipzig (Möckern),Georg-Schumann-Straße,Ausländerfeindliche Rufe - Tatverdächtiger gestellt
89,10.02.2025,Leipzig (Reudnitz-Thonberg),Dresdner Straße,Rucksack in Brand gesetzt
90,10.02.2025,Doberschütz,B87,Verkehrsunfall mit drei verletzten Personen
91,07.02.2025,Wermsdorf,,Buntmetalldiebstahl
92,10.02.2025,Leipzig (Volkmarsdorf),Wurzner Straße,Audifahrer verursacht mehrere Unfälle
93,09.02.2025,Leipzig (Zentrum-Süd),,Einbruch in Restaurant
94,14.02.2025,Leipzig (Zentrum-Ost),Sachsenseite,BMW gestohlen – Tatverdächtige ermittelt
95,11.02.2025,Leipzig (Eutritzsch),Maximilianallee,Elektroladekabel entwendet
96,18.02.2025,Leipzig (Zentrum-Ost),,Sachbeschädigung durch ein Graffito
97,19.02.2025,Leipzig (Schönefeld-Abtnaundorf),Gorkistraße,Einbruch in Geschäft
98,10.02.2025,Leipzig (Zentrum-Ost),Lagerhofstraße,Leblose Person aufgefunden
99,zwischen 11.02.2025,Leipzig (Marienbrunn),,Einbruch in Apotheke
100,14.02.2025,Leipzig (Plagwitz),Nonnenstraße,Einbrüche in Büros in der Nonnenstraße
101,17.02.2025,Leipzig (Plaußig-Portitz),BMW-Allee,Fahrzeugdiebstähle
102,17.02.2025,Delitzsch,Am Karl-Marx-Platz,Falsche Polizeibeamtin
103,15.02.2025,Leipzig (Grünau-Mitte),,Einbruch in Schmuckgeschäft
104,17.02.2025 10:00 Uhr,Leipzig (Lößnig),Nibelungenring,Betrug
105,17.02.2025,Leipzig (Lindenau),Helmholtzstraße,Brand in Kunstatelier
106,15.02.2025,Leipzig (Connewitz),Bernhard-Göring-Straße,Sachbeschädigung an Fahrzeug
107,18.03.2025,Leipzig (Connewitz),Stockartstraße,Brandstiftung an Mehrfamilienhaus
108,17.03.2025,Leipzig (Grünau-Mitte),Ringstraße,Küchenbrand
109,10.03.2025,Leipzig (Engelsdorf),,Einbruch in Lagerhalle
110,16.03.2025,Leipzig (Lausen-Grünau),Lausener Dorfplatz,VW Multivan gestohlen
111,17.03.2025,Wurzen,B6 / S11,Verkehrsunfall mit drei verletzten Personen
112,09.03.2025,Leipzig (Zentrum-West),Marschnerstraße,Sachbeschädigung an Enforcement-Trailer
113,08.03.2025,Leipzig (Volkmarsdorf),Eisenbahnstraße,Einbruch in Spätverkauf
114,09.03.2025,Leipzig (Liebertwolkwitz),Bornaer Straße/S38,Verkehrsunfall mit mehreren Verletzten
115,08.03.2025,Leipzig (Zentrum),Universitätsstraße/Roßplatz,Verkehrsunfall mit verletztem Motorradfahrer
116,09.03.2025,Leipzig (Probstheida),,Hubschraubereinsatz während Regionalligaspiel
117,19.02.2025,Leipzig (Paunsdorf),Paunsdorfer Allee,Ladendiebe gestellt
118,20.02.2025,Elsnig (Vogelgesang),Mittelstraße / Kreuzung Kiebitzweg,Zwei Personen bei Unfall schwer verletzt
119,30.01.2025,Leipzig (Zentrum-Süd),Haydnstraße,Wohnungseinbruch
120,20.02.2025,Leipzig (Wiederitzsch),Dombrowskistraße,Einbruch in Einfamilienhaus
121,20.02.2025,Leipzig (Zentrum-West),Martin-Luther-Ring 7-9,Verkehrsunfallflucht - Zeugenaufruf
122,19.02.2025,Oschatz,Nossener Straße (Parkplatz Edeka),Unerlaubtes Entfernen vom Unfallort - Zeugenaufruf
123,08.02.2025,Leipzig (Lausen-Grünau),Königsteinstraße,Brand in Mehrfamilienhaus
124,08.02.2025,Leipzig (Plagwitz),Wachsmuthstraße und Gießerstraße,Tatverdächtiger Sprayer gestellt
125,08.02.2025,Wiedemar,,Schwerer Unfall auf der Bundesautobahn 9
126,08.02.2025,Grimma,Bahnhofstraße,Verwenden von Kennzeichen verfassungswidriger Organisationen in Grimma
127,09.02.2025,Wurzen,,Brandstiftung bei Kirchen in Wurzen
128,21.01.2025,Leipzig (Zentrum-Nord),Eutritzscher Straße,Beschuldigter nach schwerem Raub in Untersuchungshaft
129,05.02.2025,Partenstein (Pomßen),Hauptstraße,Geschwindigkeitskontrolle am Schulweg
130,07.02.2025,Leipzig (Holzhausen),Liebertwolkwitzer Straße/Feldstraße,Verkehrsunfall in Holzhausen
131,01.03.2025,Laußig (Pressel),B183,Tödlicher Verkehrsunfall
132,28.02.2025,Leipzig (Lützschena-Stahmeln),Poststraße,Diebstahl eines Lkw mit Sattelauflieger
133,19.02.2025,Leipzig (Liebertwolkwitz),Schäferweg,Einbruch in Einfamilienhaus
134,28.02.2025,Leipzig (Gohlis-Süd),Georg-Schumann-Straße,Einbruch in Café
135,01.03.2025,Leipzig (Volkmarsdorf),Wurzner Straße,Wiederholter Siegelbruch an Gewerbeeinrichtung
136,01.03.2025,Markranstädt (Priesteblich),B186,Verkehrsunfall mit zwei Verletzten
137,26.02.2025 bis 01.03.2025,Leipzig (Zentrum-West),Schreberstraße,Diebstahl Toyota RAV4
138,28.02.2025,Leipzig (Reudnitz-Thonberg),Riebeckstraße,Paketzusteller schlägt LVB-Mitarbeiter
139,28.02.2025,Borna,Luckaer Straße,Verfassungsfeindliches Graffiti
140,16.02.2025 08:10 Uhr,Leipzig (Probstheida),Preußenstraße,Brand in Probstheida
141,15.02.2025,Leipzig (Mölkau),Moltrechtstraße,Brand in Mölkau - Ergänzungsmeldung
142,14.02.2025,Leipzig (Zentrum- Ost),Sachsenseite,Diebstahl Fahrzeug - BMW
143,15.02.2025,Leipzig (Plagwitz),Limburgerstraße,Wohnungsbrand
144,05.03.2025,Leipzig (Gohlis-Süd),Gohliser Straße,Lieferfahrer versucht auszurauben - Zeugenaufruf
145,06.03.2025,Leipzig (Meusdorf),Prager Straße,Raubdelikt – Zeugenaufruf
146,06.03.2025 16:30 Uhr,Torgau (Mehderitzsch),Hauptstraße,Geschwindigkeitskontrolle bringt Verstöße zu Tage
147,09.03.2025,Leipzig,Bruno-Plache-Stadion,Polizeieinsatz anlässlich eines Fußballregionalligaspiels
148,15.02.2025 - 21.02.2025,Leipzig (Wiederitzsch),,Diebstahl aus Einfamilienhaus
149,21.02.2025,Leipzig (Mockau-Nord),Graf-Zeppelin-Ring,Brand eines Audi A4
